idGene	GeneName	idENSEMBL
1	-	ENSG00000122012
2	-	LRG_1010
3	-	ENSG00000272103
4	-	ENSG00000164620
5	-	ENSG00000113441
6	-	ENSG00000161133
7	-	ENSG00000250261
8	-	ENSG00000241973
9	-	ENSG00000100285
10	-	ENSG00000145569
11	-	ENSG00000099917
12	-	ENSG00000174837
13	-	ENSG00000239547
14	-	-
15	-	ENSG00000273737
16	-	ENSG00000215193
17	-	ENSG00000183785
18	-	ENSG00000147202
19	-	ENSG00000164465
20	-	ENSG00000277564
21	-	ENSG00000141027
22	-	ENSG00000113580
23	-	ENSG00000016402
24	-	ENSG00000272600
25	-	ENSG00000233237
26	-	ENSG00000099940
27	-	ENSG00000232295
28	-	ENSG00000153162
29	-	ENSG00000145808
30	-	ENSG00000185252
31	-	ENSG00000100368
32	-	ENSG00000148120
33	-	ENSG00000197594
34	-	ENSG00000224063
35	-	ENSG00000118495
36	-	ENSG00000138182
37	-	ENSG00000085449
38	-	ENSG00000148488
39	-	ENSG00000282513
40	-	LRG_334
41	-	ENSG00000216853
42	-	ENSG00000175329
43	-	ENSG00000230417
44	-	ENSG00000113269
45	-	ENSG00000164574
46	-	ENSG00000275932
47	-	ENSG00000164199
48	-	ENSG00000070371
49	-	ENSG00000100154
50	-	ENSG00000153922
51	-	ENSG00000249082
52	-	ENSG00000145781
53	-	ENSG00000145723
54	-	ENSG00000105053
55	-	ENSG00000266509
56	-	ENSG00000112851
57	-	ENSG00000184349
58	-	ENSG00000113448
59	-	ENSG00000068796
60	-	ENSG00000248791
61	-	ENSG00000168418
62	-	ENSG00000244486
63	-	ENSG00000021645
64	-	ENSG00000234121
65	-	ENSG00000278008
66	-	ENSG00000158987
67	-	ENSG00000216863
68	-	ENSG00000145730
69	-	ENSG00000099910
70	-	ENSG00000170624
71	-	ENSG00000184979
72	-	ENSG00000176018
73	-	ENSG00000220248
74	-	ENSG00000225225
75	-	ENSG00000135333
76	-	ENSG00000241717
77	-	ENSG00000280941
78	-	ENSG00000261115
79	-	ENSG00000137203
80	-	ENSG00000230333
81	-	ENSG00000215544
82	-	ENSG00000282833
83	-	ENSG00000130038
84	-	ENSG00000010818
85	-	ENSG00000165966
86	-	ENSG00000236670
87	-	ENSG00000227028
88	-	ENSG00000146678
89	-	ENSG00000236177
90	-	ENSG00000230472
91	-	ENSG00000006432
92	-	ENSG00000171611
93	-	ENSG00000161103
94	-	LRG_321
95	-	ENSG00000248405
96	-	ENSG00000255156
97	-	ENSG00000233110
98	-	ENSG00000207210
99	-	ENSG00000196670
100	-	ENSG00000077935
101	-	ENSG00000279558
102	-	ENSG00000161010
103	-	LRG_189
104	-	ENSG00000154127
105	-	LRG_205
106	-	ENSG00000237689
107	-	ENSG00000228122
108	-	ENSG00000275118
