ID_Gene	GeneName	ID_Location	ID_Ensmbl
1	-	1	ENSG00000241484
2	-	1	ENSG00000248405
3	-	2	ENSG00000235954
4	-	2	ENSG00000100154
5	-	3	ENSG00000096433
6	-	3	ENSG00000137288
7	-	3	ENSG00000266509
8	-	4	ENSG00000154127
9	-	5	ENSG00000135333
10	-	6	ENSG00000207827
11	-	6	ENSG00000269966
12	-	6	ENSG00000233237
13	-	7	ENSG00000145979
14	-	7	ENSG00000272379
15	-	7	ENSG00000215022
16	-	7	ENSG00000112137
17	-	7	ENSG00000282833
18	-	8	ENSG00000231389
19	-	9	ENSG00000235844
20	-	10	ENSG00000224103
21	-	11	ENSG00000229685
22	-	12	ENSG00000228163
23	-	13	ENSG00000168384
24	-	14	ENSG00000206291
25	-	15	ENSG00000236177
26	-	16	ENSG00000099940
27	-	17	ENSG00000241973
28	-	18	ENSG00000093010
29	-	18	LRG_1010
30	-	20	ENSG00000215193
31	-	20	ENSG00000280007
32	-	20	ENSG00000183785
33	-	22	ENSG00000250261
34	-	23	ENSG00000070371
35	-	27	ENSG00000099889
36	-	30	ENSG00000100285
37	-	31	ENSG00000099917
38	-	32	ENSG00000207343
39	-	32	ENSG00000244486
40	-	34	ENSG00000185252
41	-	39	ENSG00000100320
42	-	40	ENSG00000277564
43	-	41	
44	-	42	ENSG00000099937
45	-	43	ENSG00000184979
46	-	44	ENSG00000100181
47	-	44	ENSG00000273244
48	-	44	ENSG00000241717
49	-	47	ENSG00000272600
50	-	50	ENSG00000100368
51	-	51	ENSG00000161103
52	-	52	ENSG00000235617
53	-	52	ENSG00000225225
54	-	53	ENSG00000099910
55	-	53	ENSG00000255156
56	-	57	ENSG00000175329
57	-	61	ENSG00000237689
58	-	62	ENSG00000237358
59	-	62	ENSG00000228122
60	-	63	ENSG00000161133
61	-	68	ENSG00000234121
62	-	73	ENSG00000278008
63	-	80	ENSG00000237835
64	-	80	ENSG00000220248
65	-	83	ENSG00000201916
66	-	83	ENSG00000242876
67	-	83	ENSG00000236670
68	-	88	ENSG00000099954
69	-	88	ENSG00000239547
70	-	95	ENSG00000281471
71	-	95	ENSG00000280941
72	-	98	ENSG00000215544
73	-	112	ENSG00000211655
74	-	113	ENSG00000273737
75	-	114	ENSG00000236256
76	-	114	ENSG00000147202
77	-	116	ENSG00000146678
78	-	118	ENSG00000261115
79	-	119	ENSG00000005108
80	-	119	ENSG00000230333
81	-	120	ENSG00000130038
82	-	121	ENSG00000237851
83	-	121	ENSG00000010818
84	-	122	ENSG00000016402
85	-	125	ENSG00000230597
86	-	125	ENSG00000232295
87	-	126	ENSG00000153162
88	-	127	ENSG00000137203
89	-	129	ENSG00000257228
90	-	129	ENSG00000165966
91	-	130	ENSG00000183023
92	-	130	ENSG00000227028
93	-	131	ENSG00000230472
94	-	133	ENSG00000137161
95	-	133	ENSG00000171611
96	-	135	ENSG00000251680
97	-	135	ENSG00000145808
98	-	136	ENSG00000197594
99	-	137	ENSG00000118495
100	-	139	ENSG00000006432
101	-	142	ENSG00000077935
102	-	143	ENSG00000085449
103	-	144	ENSG00000148488
104	-	145	ENSG00000151067
105	-	145	LRG_334
106	-	146	ENSG00000282863
107	-	146	ENSG00000230417
108	-	147	ENSG00000141510
109	-	147	LRG_321
110	-	149	ENSG00000154556
111	-	149	ENSG00000233110
112	-	152	ENSG00000148120
113	-	153	ENSG00000003436
114	-	153	ENSG00000224063
115	-	154	ENSG00000138182
116	-	155	ENSG00000248905
117	-	155	ENSG00000282513
118	-	156	ENSG00000216853
119	-	158	ENSG00000276023
120	-	158	ENSG00000275066
121	-	159	ENSG00000274047
122	-	159	ENSG00000275932
123	-	160	ENSG00000164463
124	-	160	ENSG00000207210
125	-	162	ENSG00000196670
126	-	165	ENSG00000279047
127	-	165	ENSG00000279558
128	-	166	ENSG00000161011
129	-	166	ENSG00000161010
130	-	168	ENSG00000113269
131	-	169	ENSG00000164574
132	-	170	ENSG00000164199
133	-	171	ENSG00000224186
134	-	171	ENSG00000249082
135	-	173	ENSG00000253980
136	-	173	ENSG00000113263
137	-	173	LRG_189
138	-	174	ENSG00000254163
139	-	174	ENSG00000170624
140	-	174	LRG_205
141	-	175	ENSG00000170892
142	-	175	ENSG00000125505
143	-	176	ENSG00000276935
144	-	176	ENSG00000278622
145	-	177	ENSG00000274796
146	-	177	ENSG00000278322
147	-	177	ENSG00000274078
148	-	177	ENSG00000278519
149	-	177	ENSG00000274672
150	-	177	ENSG00000277025
151	-	177	ENSG00000275165
152	-	177	ENSG00000277733
153	-	177	ENSG00000273896
154	-	177	ENSG00000277923
155	-	178	ENSG00000274129
156	-	178	ENSG00000273592
157	-	178	ENSG00000278712
158	-	178	ENSG00000274194
159	-	178	ENSG00000278605
160	-	178	ENSG00000275118
161	-	179	ENSG00000248127
162	-	179	ENSG00000122012
163	-	180	ENSG00000197948
164	-	180	ENSG00000171720
