idLocation	StartGRCh38	EndGRCh38	CythogeneticLocation	Strand	Microindel_idMicroindel
1	44816166	44816165	22	1	1
2	27989229	27989228	22	1	2
3	33694405	33694404	6	1	3
4	122713975	122713974	11	1	4
5	93347441	93347440	6	1	5
6	71403291	71403290	6	1	6
7	13289793	13289792	6	1	7
8	33065144	33065143	6	1	8
9	33104231	33104230	CHR_HSCHR6_MHC_APD_CTG1	1	8
10	32987114	32987113	CHR_HSCHR6_MHC_COX_CTG1	1	8
11	33043082	33043081	CHR_HSCHR6_MHC_DBB_CTG1	1	8
12	33219248	33219247	CHR_HSCHR6_MHC_MANN_CTG1	1	8
13	33098616	33098615	CHR_HSCHR6_MHC_MCF_CTG1	1	8
14	32994183	32994182	CHR_HSCHR6_MHC_QBL_CTG1	1	8
15	33205592	33205591	CHR_HSCHR6_MHC_SSTO_CTG1	1	8
16	20880028	20880027	22	1	9
17	20821609	20821608	22	1	10
18	19958723	19958722	22	1	11
19	20809432	20809431	22	1	12
20	18132284	18132283	22	1	13
21	18089737	18089736	22	1	14
22	20592924	20592923	22	1	15
23	19216604	19216603	22	1	16
24	18094220	18094219	22	1	17
25	20814181	20814180	22	1	18
26	18125535	18125534	22	1	19
27	19971168	19971167	22	1	20
28	20594218	20594217	22	1	21
29	20592935	20592934	22	1	22
30	29486205	29486204	22	1	23
31	20572984	20572983	22	1	24
32	20420745	20420744	22	1	25
33	20800908	20800907	22	1	26
34	20397072	20397071	22	1	27
35	29494327	29494326	22	1	28
36	20872848	20872847	22	1	29
37	20595016	20595015	22	1	30
38	19954220	19954219	22	1	31
39	35927605	35927604	22	1	32
40	35933836	35933835	CHR_HSCHR22_1_CTG4	1	32
41	20901094	20901093	22	1	33
42	20773300	20773299	22	1	34
43	18154624	18154623	22	1	35
44	16685334	16685333	22	1	36
45	20837388	20837387	22	1	37
46	20594240	20594239	22	1	38
47	20892504	20892503	22	1	39
48	20884794	20884793	22	1	40
49	20843099	20843098	22	1	41
50	36943772	36943771	22	1	42
51	18849022	18849021	22	1	43
52	18103113	18103112	22	1	44
53	20470799	20470798	22	1	45
54	18089607	18089606	22	1	46
55	18108999	18108998	22	1	47
56	20898009	20898008	22	1	48
57	35061940	35061939	22	1	49
58	20594226	20594225	22	1	50
59	20769684	20769683	22	1	51
