idGene	GeneName	EnsmblID	Location_idLocation
1	Not provided	ENSG00000241484	1
2	Not provided	ENSG00000248405	1
3	Not provided	ENSG00000235954	2
4	Not provided	ENSG00000100154	2
5	Not provided	ENSG00000096433	3
6	Not provided	ENSG00000137288	3
7	Not provided	ENSG00000266509	3
8	Not provided	ENSG00000154127	4
9	Not provided	ENSG00000135333	5
10	Not provided	ENSG00000207827	6
11	Not provided	ENSG00000269966	6
12	Not provided	ENSG00000233237	6
13	Not provided	ENSG00000145979	7
14	Not provided	ENSG00000272379	7
15	Not provided	ENSG00000215022	7
16	Not provided	ENSG00000112137	7
17	Not provided	ENSG00000282833	7
18	Not provided	ENSG00000231389	8
19	Not provided	ENSG00000235844	9
20	Not provided	ENSG00000224103	10
21	Not provided	ENSG00000229685	11
22	Not provided	ENSG00000228163	12
23	Not provided	ENSG00000168384	13
24	Not provided	ENSG00000206291	14
25	Not provided	ENSG00000236177	15
26	Not provided	ENSG00000099940	16
27	Not provided	ENSG00000241973	17
28	Not provided	ENSG00000093010	18
29	Not provided	LRG_1010	18
30	Not provided	ENSG00000215193	20
31	Not provided	ENSG00000280007	20
32	Not provided	ENSG00000183785	20
33	Not provided	ENSG00000250261	22
34	Not provided	ENSG00000070371	23
35	Not provided	ENSG00000099889	27
36	Not provided	ENSG00000100285	30
37	Not provided	ENSG00000099917	31
38	Not provided	ENSG00000207343	32
39	Not provided	ENSG00000244486	32
40	Not provided	ENSG00000185252	34
41	Not provided	ENSG00000100320	39
42	Not provided	ENSG00000277564	40
43	Not provided		41
44	Not provided	ENSG00000099937	42
45	Not provided	ENSG00000184979	43
46	Not provided	ENSG00000100181	44
47	Not provided	ENSG00000273244	44
48	Not provided	ENSG00000241717	44
49	Not provided	ENSG00000272600	47
50	Not provided	ENSG00000100368	50
51	Not provided	ENSG00000161103	51
52	Not provided	ENSG00000235617	52
53	Not provided	ENSG00000225225	52
54	Not provided	ENSG00000099910	53
55	Not provided	ENSG00000255156	53
56	Not provided	ENSG00000175329	57
57	Not provided	ENSG00000237689	61
58	Not provided	ENSG00000237358	62
59	Not provided	ENSG00000228122	62
60	Not provided	ENSG00000161133	63
61	Not provided	ENSG00000234121	68
62	Not provided	ENSG00000278008	73
63	Not provided	ENSG00000237835	80
64	Not provided	ENSG00000220248	80
65	Not provided	ENSG00000201916	83
66	Not provided	ENSG00000242876	83
67	Not provided	ENSG00000236670	83
68	Not provided	ENSG00000099954	88
69	Not provided	ENSG00000239547	88
70	Not provided	ENSG00000281471	95
71	Not provided	ENSG00000280941	95
72	Not provided	ENSG00000215544	98
73	Not provided	ENSG00000211655	112
74	Not provided	ENSG00000273737	113
75	Not provided	ENSG00000236256	114
76	Not provided	ENSG00000147202	114
77	Not provided	ENSG00000146678	116
78	Not provided	ENSG00000261115	118
79	Not provided	ENSG00000005108	119
80	Not provided	ENSG00000230333	119
81	Not provided	ENSG00000130038	120
82	Not provided	ENSG00000237851	121
83	Not provided	ENSG00000010818	121
84	Not provided	ENSG00000016402	122
85	Not provided	ENSG00000230597	125
86	Not provided	ENSG00000232295	125
